adapt activ-appos	10 0.136986301369863 2.9826029497654654 0.4476081154689199
adapt and-cc	24 0.3287671232876712 2.9826029497654654 0.6934315107353652
adapt boundari-conj	24 0.3287671232876712 2.9826029497654654 0.6934315107353652
adapt coadapt-conj	24 0.3287671232876712 2.9826029497654654 0.6934315107353652
adapt come-ccomp	16 0.2191780821917808 2.9826029497654654 0.5661844576229735
adapt contrast-dep	23 0.3150684931506849 2.9826029497654654 0.6788313174694927
activ major-amod	228 1.0 1.3395374944807408 0.8374411022512251
activ nation-amod	32 0.14035087719298245 1.3395374944807408 0.31373418176153284
activ new-amod	158 0.6929824561403509 1.3395374944807408 0.6971326007134825
activ object-amod	14 0.06140350877192982 1.3395374944807408 0.20751565568033797
activ occup-amod	24 0.10526315789473684 1.3395374944807408 0.2717017714410119
